Random,Date,Hour,Cloud coverage,Visibility,Temperature,Dew point,Relative humidity,Wind speed,Station pressure,Altimeter,Solar energy,(Inverter),
0.955433034,04-05-2017,8,0.97,9.04,8.11,7.41,95.72,21.2,28.88,29.67,504.5,,
0.902513505,05-09-2016,16,1,7.36,18.66,18.04,91.68,14.08,29.08,29.87,299.25,,
0.565283517,01-04-2017,8,0,10,-9.36,-12.72,73.04,18.64,29.32,30.12,1221,,
0.232933778,10-19-2016,15,1,10,17.66,13.37,73.24,7.76,29.23,30.02,300.75,,
0.184373039,8-14-2017,7,0.14,10,20.39,17.47,83.24,0.96,29.12,29.91,726.5,,
0.398090553,3-31-2017,13,1,8.08,5.61,4.45,88.88,13.8,29.08,29.87,727,,
0.534985665,6-25-2016,13,0.41,10,31.81,22.39,56.24,8.59,29.27,30.06,4323.75,,
0.330488918,09-11-2016,17,0,10,23.34,12.76,50.8,3.88,29.34,30.14,1275.5,,
0.891513435,8-20-2016,8,1,3.72,23.83,23.33,95.79,11.07,28.92,29.7,213.75,,
0.22356127,01-08-2017,11,0,9.96,-11.32,-17.62,58,4.4,29.91,30.72,2863.75,,
0.653074907,10-15-2017,17,1,10,12.77,6.38,65.72,10.2,29.41,30.21,114.03,,
0.255356118,5-25-2017,13,1,9.96,17.54,13.86,77.88,14.6,28.9,29.68,2011.5,,
0.021131084,10-28-2017,12,1,10,4.78,0.5,73.76,13.68,29.14,29.93,854.25,,
0.596591867,9-19-2016,7,0,10,16.87,15.36,87,0,29.3,30.09,549.5,,
0.547537453,4-24-2016,6,0.53,1.75,9.87,9.8,99.58,6.28,29.26,30.06,155.6,,
0.815238743,4-23-2016,8,0.52,10,10,6.81,75.8,2.08,29.39,30.19,1006.75,,
0.664240832,2-22-2016,12,0.76,10,6.02,-0.14,63.52,3.8,29.36,30.16,2792,,
0.145644921,04-12-2016,9,0,10,6.79,-3.04,48.92,9.48,29.57,30.37,3572.75,,
0.744680762,5-31-2016,11,0.28,10,28.35,15.62,40.12,10.76,29.18,29.97,2175.25,,
0.716768147,10-28-2017,16,1,10,3.77,0,75.64,8.28,29.16,29.95,126.78,,
0.671654082,4-29-2016,16,0.35,9.81,14.67,8.99,38.85,6.89,15.96,30.06,1732.5,,
0.953519418,3-21-2017,10,0.7,10,11.24,3.4,61.96,10.76,29.4,30.2,2659.5,,
0.374091643,08-01-2016,17,0,10,27.22,20.6,63,8,29.19,30.01,1503.5,,
0.516906075,05-12-2017,6,0,10,11.54,9.08,82.88,7.04,29.16,29.95,0,,
0.23846104,09-12-2016,8,0,10,19.36,15.17,76.64,5.36,29.36,30.16,1874.25,,
0.031417193,11-17-2016,11,0,10,20.16,11.94,57.56,16.32,29.07,29.86,3041.75,,
0.196147399,04-11-2016,13,0,10,10.06,2.54,58.76,18.64,29.19,29.98,3986.75,,
0.49949618,9-20-2016,6,0.48,9.96,17.13,16.74,92.88,0.24,29.34,30.14,16.81,,
0.943833626,9-20-2016,11,0.64,10,30.15,19.92,52.24,5.68,29.34,30.14,3406,,
